Wildcard,File,XPATH
@@NEWCPI1_25@@,OutputChartFile,NewCPI[2|1]
@@NEWCPI1_50@@,OutputChartFile,NewCPI[3|1]
@@NEWCPI1_75@@,OutputChartFile,NewCPI[4|1]
@@NEWCPI1_95@@,OutputChartFile,NewCPI[5|1]
@@NEWCPI1_MU@@,OutputChartFile,NewCPI[6|1]
@@NEWCPI1_VOL@@,OutputChartFile,NewCPI[7|1]
@@NEWCPI5_5@@,OutputChartFile,NewCPI[1|5]
@@NEWCPI5_25@@,OutputChartFile,NewCPI[2|5]
@@NEWCPI5_50@@,OutputChartFile,NewCPI[3|5]
@@NEWCPI5_75@@,OutputChartFile,NewCPI[4|5]
@@NEWCPI5_95@@,OutputChartFile,NewCPI[5|5]
@@NEWCPI5_MU@@,OutputChartFile,NewCPI[6|5]
@@NEWCPI5_VOL@@,OutputChartFile,NewCPI[7|5]
@@NEWCPI10_5@@,OutputChartFile,NewCPI[1|10]
@@NEWCPI10_25@@,OutputChartFile,NewCPI[2|10]
@@NEWCPI10_50@@,OutputChartFile,NewCPI[3|10]
@@NEWCPI10_75@@,OutputChartFile,NewCPI[4|10]
@@NEWCPI10_95@@,OutputChartFile,NewCPI[5|10]
@@NEWCPI10_MU@@,OutputChartFile,NewCPI[6|10]
@@NEWCPI10_VOL@@,OutputChartFile,NewCPI[7|10]
@@NEWCPI15_5@@,OutputChartFile,NewCPI[1|15]
@@NEWCPI15_25@@,OutputChartFile,NewCPI[2|15]
@@NEWCPI15_50@@,OutputChartFile,NewCPI[3|15]
@@NEWCPI15_75@@,OutputChartFile,NewCPI[4|15]
@@NEWCPI15_95@@,OutputChartFile,NewCPI[5|15]
@@NEWCPI15_MU@@,OutputChartFile,NewCPI[6|15]
@@NEWCPI15_VOL@@,OutputChartFile,NewCPI[7|15]
@@NEWCPI25_5@@,OutputChartFile,NewCPI[1|25]
@@NEWCPI25_25@@,OutputChartFile,NewCPI[2|25]
@@NEWCPI25_50@@,OutputChartFile,NewCPI[3|25]
@@NEWCPI25_75@@,OutputChartFile,NewCPI[4|25]
@@NEWCPI25_95@@,OutputChartFile,NewCPI[5|25]
@@NEWCPI25_MU@@,OutputChartFile,NewCPI[6|25]
@@NEWCPI25_VOL@@,OutputChartFile,NewCPI[7|25]
@@NEWCPI30_5@@,OutputChartFile,NewCPI[1|30]
@@NEWCPI30_25@@,OutputChartFile,NewCPI[2|30]
@@NEWCPI30_50@@,OutputChartFile,NewCPI[3|30]
@@NEWCPI30_75@@,OutputChartFile,NewCPI[4|30]
@@NEWCPI30_95@@,OutputChartFile,NewCPI[5|30]
@@NEWCPI30_MU@@,OutputChartFile,NewCPI[6|30]
@@NEWCPI30_VOL@@,OutputChartFile,NewCPI[7|30]
@@OLDCPIPERCENTILE@@,,
@@OLDCPIHIST@@,,
@@NEWCPIPERCENTILE@@,,
@@NEWCPIHIST@@,,
@@OLDAWER0@@,OldCalibFile,//Model[Name='AWE']//StartingInflationRate|//Model[Name='AWE']//starting_inflation_rate
@@OLDAWEALPHA@@,OldCalibFile,//Model[Name='AWE']//MeanReversionStrength|//Model[Name='AWE']//mean_reversion_strength
@@OLDAWEMU@@,OldCalibFile,//Model[Name='AWE']//MeanReversionLevel|//Model[Name='AWE']//mean_reversion_level
@@OLDAWESIGMA@@,OldCalibFile,//Model[Name='AWE']//Sigma|//Model[Name='AWE']//sigma
@@NEWAWER0@@,NewCalibFile,//Model[Name='AWE']//StartingInflationRate|//Model[Name='AWE']//starting_inflation_rate
@@NEWAWEALPHA@@,NewCalibFile,//Model[Name='AWE']//MeanReversionStrength|//Model[Name='AWE']//mean_reversion_strength
@@NEWAWEMU@@,NewCalibFile,//Model[Name='AWE']//MeanReversionLevel|//Model[Name='AWE']//mean_reversion_level
@@NEWAWESIGMA@@,NewCalibFile,//Model[Name='AWE']//Sigma|//Model[Name='AWE']//sigma
@@OLDAWE1_5@@,OutputChartFile,OldAWE[1|1]
@@OLDAWE1_25@@,OutputChartFile,OldAWE[2|1]
@@OLDAWE1_50@@,OutputChartFile,OldAWE[3|1]
@@OLDAWE1_75@@,OutputChartFile,OldAWE[4|1]
@@OLDAWE1_95@@,OutputChartFile,OldAWE[5|1]
@@OLDAWE1_MU@@,OutputChartFile,OldAWE[6|1]
@@OLDAWE1_VOL@@,OutputChartFile,OldAWE[7|1]
@@OLDAWE5_5@@,OutputChartFile,OldAWE[1|5]
@@OLDAWE5_25@@,OutputChartFile,OldAWE[2|5]
